#Material,IP1,EA1,homo1,lumo1,IP2,EA2,homo2,lumo2,r_s1,r_p1,r_d1,atomicRadius1,r_val1,r_cov1,r_s2,r_p2,r_d2,atomicRadius2,r_val2,r_cov2,Z1,Z2,electronegativity1,electronegativity2,polarizability1,polarizability2,polariz_new1,polariz_new2,column1,Nunfilled1,valence1,column_up181,column2,Nunfilled2,valence2,column_up182,Odd,Occ1,Occ2,orb1,orb2,Gap
P-K,-9.6945,-1.5964,-5.5066,4.1941,-4.3142,-0.4514,-2.3189,-0.404,0.8336,0.9712,1.4172,1.06,0.9712,1.07,2.2049,0.9378,0.9378,1.96,2.2049,2.03,15,19,2.19,0.82,3.63,43.23,24.93,290.6,5,3,5,15,1,1,1,1,1,3,1,0.5,0.5,0
Al-Ba,-5.7176,0.0364,-2.712,3.1169,-5.3475,1.0568,-3.2293,-1.9206,1.1043,1.3965,1.7101,1.18,1.3965,1.21,2.1967,2.3694,1.2663,1.98,2.1967,2.15,13,56,1.61,0.89,6.8,39.7,55.4,272.7,3,5,3,13,2,0,2,2,-1,1,2,0.16666667,1,0
Al-Ca,-5.7176,0.0364,-2.712,3.1169,-6.2818,1.2046,-3.7676,-1.9349,1.1043,1.3965,1.7101,1.18,1.3965,1.21,1.7988,2.0269,0.695,1.74,1.7988,1.76,13,20,1.61,1,6.8,25.733,55.4,160.77,3,5,3,13,2,0,2,2,-1,1,2,0.16666667,1,0
Al-Sr,-5.7176,0.0364,-2.712,3.1169,-5.8607,0.9177,-3.5253,-1.1102,1.1043,1.3965,1.7101,1.18,1.3965,1.21,1.9583,2.2671,1.0556,1.92,1.9583,1.95,13,38,1.61,0.95,6.8,25.55,55.4,197.2,3,5,3,13,2,0,2,2,-1,1,2,0.16666667,1,0
Be-As,-9.5007,0.7972,-5.6097,-2.0104,-9.0974,-1.6025,-5.1964,4.1976,1.0805,1.2128,1.9594,0.9,1.0805,0.96,0.8558,1.0507,0.2524,1.19,1.0507,1.19,4,33,1.57,2.18,5.6,4.31,37.71,29.8,2,0,2,2,5,3,15,15,-1,2,3,1,0.5,0
Be-Bi,-9.5007,0.7972,-5.6097,-2.0104,-7.8723,-1.5162,-4.5686,2.1526,1.0805,1.2128,1.9594,0.9,1.0805,0.96,0.9899,1.3017,0.5469,1.46,1.3017,1.48,4,83,1.57,2.02,5.6,7.4,37.71,50,2,0,2,2,5,3,29,15,-1,2,3,1,0.5,0
Be-Ga,-9.5007,0.7972,-5.6097,-2.0104,-5.6321,0.1264,-2.5791,3.273,1.0805,1.2128,1.9594,0.9,1.0805,0.96,1.0027,1.344,0.2823,1.26,1.344,1.22,4,31,1.57,1.81,5.6,8.12,37.71,51.4,2,0,2,2,3,5,13,13,-1,2,1,1,0.16666667,0
Be-In,-9.5007,0.7972,-5.6097,-2.0104,-5.3158,-0.0113,-2.5181,2.6968,1.0805,1.2128,1.9594,0.9,1.0805,0.96,1.1407,1.5133,0.4929,1.44,1.5133,1.42,4,49,1.57,1.78,5.6,9.65,37.71,62,2,0,2,2,3,5,13,13,-1,2,1,1,0.16666667,0
Be-Na,-9.5007,0.7972,-5.6097,-2.0104,-5.1426,-0.6355,-0.2186,0.9747,1.0805,1.2128,1.9594,0.9,1.0805,0.96,1.7586,2.2172,8.6288,1.54,1.7586,1.66,4,11,1.57,0.93,5.6,24.11,37.71,162.7,2,0,2,2,1,1,1,1,-1,2,1,1,0.5,0
Be-Rb,-9.5007,0.7972,-5.6097,-2.0104,-4.1437,-0.4859,-2.2313,-0.1321,1.0805,1.2128,1.9594,0.9,1.0805,0.96,2.3142,2.517,1.9965,2.11,2.3142,2.2,4,37,1.57,0.82,5.6,47.27,37.71,318.8,2,0,2,2,1,1,1,1,-1,2,1,1,0.5,0
Be-Sb,-9.5007,0.7972,-5.6097,-2.0104,-8.2918,-1.5672,-4.8268,4.7346,1.0805,1.2128,1.9594,0.9,1.0805,0.96,1.0035,1.24,0.4483,1.38,1.24,1.39,4,51,1.57,2.05,5.6,6.6,37.71,42.55,2,0,2,2,5,3,15,15,-1,2,3,1,0.5,0
Be-Tl,-9.5007,0.7972,-5.6097,-2.0104,-5.1215,0.0916,-2.3692,2.6329,1.0805,1.2128,1.9594,0.9,1.0805,0.96,1.0974,1.5446,0.5904,1.48,1.5446,1.45,4,81,1.57,2.04,5.6,7.55,37.71,51.6,2,0,2,2,3,5,27,13,-1,2,1,1,0.16666667,0
Ca-Ga,-6.2818,1.2046,-3.7676,-1.9349,-5.6321,0.1264,-2.5791,3.273,1.7988,2.0269,0.695,1.74,1.7988,1.76,1.0027,1.344,0.2823,1.26,1.344,1.22,20,31,1,1.81,25.733,8.12,160.77,51.4,2,0,2,2,3,5,13,13,-1,2,1,1,0.16666667,0
Ca-Rb,-6.2818,1.2046,-3.7676,-1.9349,-4.1437,-0.4859,-2.2313,-0.1321,1.7988,2.0269,0.695,1.74,1.7988,1.76,2.3142,2.517,1.9965,2.11,2.3142,2.2,20,37,1,0.82,25.733,47.27,160.77,318.8,2,0,2,2,1,1,1,1,-1,2,1,1,0.5,0
Ca-Sb,-6.2818,1.2046,-3.7676,-1.9349,-8.2918,-1.5672,-4.8268,4.7346,1.7988,2.0269,0.695,1.74,1.7988,1.76,1.0035,1.24,0.4483,1.38,1.24,1.39,20,51,1,2.05,25.733,6.6,160.77,42.55,2,0,2,2,5,3,15,15,-1,2,3,1,0.5,0
Li-Ba,-5.3606,-0.5863,-2.8744,-0.9074,-5.3475,1.0568,-3.2293,-1.9206,1.6578,1.8874,2.0869,1.34,1.6578,1.28,2.1967,2.3694,1.2663,1.98,2.1967,2.15,3,56,0.98,0.89,24.335,39.7,164,272.7,1,1,1,1,2,0,2,2,-1,1,2,0.5,1,0
Li-Be,-5.3606,-0.5863,-2.8744,-0.9074,-9.5007,0.7972,-5.6097,-2.0104,1.6578,1.8874,2.0869,1.34,1.6578,1.28,1.0805,1.2128,1.9594,0.9,1.0805,0.96,3,4,0.98,1.57,24.335,5.6,164,37.71,1,1,1,1,2,0,2,2,-1,1,2,0.5,1,0
Li-Ca,-5.3606,-0.5863,-2.8744,-0.9074,-6.2818,1.2046,-3.7676,-1.9349,1.6578,1.8874,2.0869,1.34,1.6578,1.28,1.7988,2.0269,0.695,1.74,1.7988,1.76,3,20,0.98,1,24.335,25.733,164,160.77,1,1,1,1,2,0,2,2,-1,1,2,0.5,1,0
Li-Ge,-5.3606,-0.5863,-2.8744,-0.9074,-7.3928,-0.7121,-3.8948,3.4236,1.6578,1.8874,2.0869,1.34,1.6578,1.28,0.922,1.1721,0.2666,1.22,1.1721,1.2,3,32,0.98,2.01,24.335,5.84,164,39.43,1,1,1,1,4,4,14,14,-1,1,2,0.5,0.33333333,0
Li-Mg,-5.3606,-0.5863,-2.8744,-0.9074,-7.9325,1.5388,-4.7054,-1.0945,1.6578,1.8874,2.0869,1.34,1.6578,1.28,1.3518,1.6131,1.9324,1.3,1.3518,1.41,3,12,0.98,1.31,24.335,10.767,164,70.89,1,1,1,1,2,0,2,2,-1,1,2,0.5,1,0
Li-Sr,-5.3606,-0.5863,-2.8744,-0.9074,-5.8607,0.9177,-3.5253,-1.1102,1.6578,1.8874,2.0869,1.34,1.6578,1.28,1.9583,2.2671,1.0556,1.92,1.9583,1.95,3,38,0.98,0.95,24.335,25.55,164,197.2,1,1,1,1,2,0,2,2,-1,1,2,0.5,1,0
Li-Te,-5.3606,-0.5863,-2.8744,-0.9074,-9.696,-2.4472,-5.9517,3.9881,1.6578,1.8874,2.0869,1.34,1.6578,1.28,0.9497,1.1492,0.4293,1.35,1.1492,1.38,3,52,0.98,2.1,24.335,5.5,164,37,1,1,1,1,6,2,16,16,-1,1,4,0.5,0.66666667,0
